"year","AL.sd","member","model"
1985,2.74632282645098,"LE2-1171.009","FCM"
1986,2.35206380165201,"LE2-1171.009","FCM"
1987,2.34767684876925,"LE2-1171.009","FCM"
1988,2.19651474685348,"LE2-1171.009","FCM"
1989,2.20422000908112,"LE2-1171.009","FCM"
1990,1.81887552044617,"LE2-1171.009","FCM"
1991,1.61529996048518,"LE2-1171.009","FCM"
1992,1.57677986529703,"LE2-1171.009","FCM"
1993,1.56505449484924,"LE2-1171.009","FCM"
1994,0.836256397586566,"LE2-1171.009","FCM"
1995,0.749295245303356,"LE2-1171.009","FCM"
1996,0.984388441875266,"LE2-1171.009","FCM"
1997,-0.29661015807487,"LE2-1171.009","FCM"
1998,-0.787214162914774,"LE2-1171.009","FCM"
1999,-1.04513932745565,"LE2-1171.009","FCM"
2000,-0.938925736434319,"LE2-1171.009","FCM"
2001,-0.80392306539796,"LE2-1171.009","FCM"
2002,-1.45650466250551,"LE2-1171.009","FCM"
2003,-1.38550325991349,"LE2-1171.009","FCM"
2004,-1.25580380355047,"LE2-1171.009","FCM"
2005,-1.07523142178994,"LE2-1171.009","FCM"
2006,-1.1203490135546,"LE2-1171.009","FCM"
2007,-1.08836139559468,"LE2-1171.009","FCM"
2008,-1.04078500530476,"LE2-1171.009","FCM"
2009,-1.15518253195732,"LE2-1171.009","FCM"
2010,-1.15255879982873,"LE2-1171.009","FCM"
2011,-1.26028510638783,"LE2-1171.009","FCM"
2012,-1.11882271141093,"LE2-1171.009","FCM"
2013,-1.52347341626598,"LE2-1171.009","FCM"
2014,-1.19466213801819,"LE2-1171.009","FCM"
1964,1.89463586164713,"LE2-1191.010","FCM"
1965,1.93647215010742,"LE2-1191.010","FCM"
1966,1.78942368844785,"LE2-1191.010","FCM"
1967,1.67710127348309,"LE2-1191.010","FCM"
1968,1.69594259800665,"LE2-1191.010","FCM"
1969,1.66753725349447,"LE2-1191.010","FCM"
1970,1.45797329589495,"LE2-1191.010","FCM"
1971,0.826981471156454,"LE2-1191.010","FCM"
1972,0.336117114833207,"LE2-1191.010","FCM"
1973,-0.357350712385788,"LE2-1191.010","FCM"
1974,-0.410410721958381,"LE2-1191.010","FCM"
1975,-0.201985727771685,"LE2-1191.010","FCM"
1976,-2.05476863934383,"LE2-1191.010","FCM"
1977,-1.41742532847229,"LE2-1191.010","FCM"
1978,-1.38378839446214,"LE2-1191.010","FCM"
1979,-1.81107414067878,"LE2-1191.010","FCM"
1980,-1.90045001219661,"LE2-1191.010","FCM"
1981,-2.24813542355131,"LE2-1191.010","FCM"
1982,-1.91339361847212,"LE2-1191.010","FCM"
1983,-1.98010120703851,"LE2-1191.010","FCM"
1984,-1.47513783920858,"LE2-1191.010","FCM"
1985,-1.49103350807314,"LE2-1191.010","FCM"
1986,-1.09274865882618,"LE2-1191.010","FCM"
1987,0.0506437201207073,"LE2-1191.010","FCM"
1988,0.0861936039570764,"LE2-1191.010","FCM"
1989,0.102809341197984,"LE2-1191.010","FCM"
1990,0.240676943660345,"LE2-1191.010","FCM"
1991,0.672178112083676,"LE2-1191.010","FCM"
1992,0.0672089867081936,"LE2-1191.010","FCM"
1993,0.169386111304181,"LE2-1191.010","FCM"
1994,0.181219637129127,"LE2-1191.010","FCM"
1995,0.629005662800122,"LE2-1191.010","FCM"
1996,1.21342754783059,"LE2-1191.010","FCM"
1997,1.12028408772051,"LE2-1191.010","FCM"
1998,0.533965549269878,"LE2-1191.010","FCM"
1999,0.221877603356735,"LE2-1191.010","FCM"
2000,0.726676396921699,"LE2-1191.010","FCM"
2001,0.71697743157931,"LE2-1191.010","FCM"
2002,0.307707761386593,"LE2-1191.010","FCM"
2003,0.299492839511305,"LE2-1191.010","FCM"
2004,0.620024887445054,"LE2-1191.010","FCM"
2005,0.741035776607406,"LE2-1191.010","FCM"
2006,0.501180379893955,"LE2-1191.010","FCM"
2007,0.546659627505338,"LE2-1191.010","FCM"
2008,0.688113357657709,"LE2-1191.010","FCM"
2009,0.890505625589417,"LE2-1191.010","FCM"
2010,0.486903442812975,"LE2-1191.010","FCM"
2011,0.184123474147141,"LE2-1191.010","FCM"
2012,0.302868454990276,"LE2-1191.010","FCM"
2013,0.373721519994339,"LE2-1191.010","FCM"
2014,0.38199546194575,"LE2-1191.010","FCM"
1964,1.70500662400232,"LE2-1231.011","FCM"
1965,1.49973156331882,"LE2-1231.011","FCM"
1966,1.23809891130237,"LE2-1231.011","FCM"
1967,1.56814279443686,"LE2-1231.011","FCM"
1968,0.857342179601431,"LE2-1231.011","FCM"
1969,1.53322711491113,"LE2-1231.011","FCM"
1970,1.89998284471473,"LE2-1231.011","FCM"
1971,1.59556363493804,"LE2-1231.011","FCM"
1972,1.1221253498169,"LE2-1231.011","FCM"
1973,0.461792476335397,"LE2-1231.011","FCM"
1974,0.37160860507526,"LE2-1231.011","FCM"
1975,0.233520060457277,"LE2-1231.011","FCM"
1976,-0.271613480803736,"LE2-1231.011","FCM"
1977,-0.287061040352356,"LE2-1231.011","FCM"
1978,-0.0926706507209117,"LE2-1231.011","FCM"
1979,-0.395712913818274,"LE2-1231.011","FCM"
