"year","GOA.ar1","EBS.ar1","member","model"
2000,0.341725990494905,0.248848383386149,"LE2-1301.015","FCM"
2001,0.258018804063669,0.238660828491177,"LE2-1301.015","FCM"
2002,0.282861089855231,0.174230976119361,"LE2-1301.015","FCM"
2003,0.29214733479468,0.202373949400031,"LE2-1301.015","FCM"
2004,0.289302871740381,0.216307239213258,"LE2-1301.015","FCM"
2005,0.358081890222919,0.241145661234603,"LE2-1301.015","FCM"
2006,0.341811405710591,0.242297887915138,"LE2-1301.015","FCM"
2007,0.419621694361578,0.297279198527624,"LE2-1301.015","FCM"
2008,0.233034812869352,0.178388322821918,"LE2-1301.015","FCM"
2009,0.276775499179431,0.24943805625129,"LE2-1301.015","FCM"
2010,0.303165183929788,0.258829398318397,"LE2-1301.015","FCM"
2011,0.383319555295963,0.27072008062082,"LE2-1301.015","FCM"
2012,0.486635295997479,0.441935188187435,"LE2-1301.015","FCM"
2013,0.541428375306389,0.434980134883601,"LE2-1301.015","FCM"
2014,0.529896630021065,0.424307306817393,"LE2-1301.015","FCM"
1964,0.26592037189981,-0.132334935705206,"LE2-1301.016","FCM"
1965,0.192843921400729,0.219092996182848,"LE2-1301.016","FCM"
1966,0.352152345977941,0.426907295471119,"LE2-1301.016","FCM"
1967,0.354315196059368,0.455306988687174,"LE2-1301.016","FCM"
1968,0.492762835812905,0.492555003832397,"LE2-1301.016","FCM"
1969,0.525671739336898,0.603025546248944,"LE2-1301.016","FCM"
1970,0.396782587340769,0.612985492350533,"LE2-1301.016","FCM"
1971,0.47876715398048,0.633367606410136,"LE2-1301.016","FCM"
1972,0.4178861404166,0.605774164898265,"LE2-1301.016","FCM"
1973,0.451736622947749,0.622561505545777,"LE2-1301.016","FCM"
1974,0.389953438815411,0.403067985019181,"LE2-1301.016","FCM"
1975,0.414991710601275,0.486943964691461,"LE2-1301.016","FCM"
1976,0.264964575561715,0.358469249739458,"LE2-1301.016","FCM"
1977,0.273656350336135,0.215999107657657,"LE2-1301.016","FCM"
1978,0.308202642224702,0.175778503839069,"LE2-1301.016","FCM"
1979,0.394549266732382,0.217755520846641,"LE2-1301.016","FCM"
1980,0.437092346673511,0.262152084439444,"LE2-1301.016","FCM"
1981,0.402908647278105,0.275152852782404,"LE2-1301.016","FCM"
1982,0.286758553074105,0.20867280094317,"LE2-1301.016","FCM"
1983,0.227841570612281,0.128936897215692,"LE2-1301.016","FCM"
1984,0.218884496687323,0.0999169598886041,"LE2-1301.016","FCM"
1985,0.214796945649078,0.108153836565726,"LE2-1301.016","FCM"
1986,0.279815264093743,0.131049395551285,"LE2-1301.016","FCM"
1987,0.220678135046055,-0.0474158619937503,"LE2-1301.016","FCM"
1988,0.260819903245572,0.172831387651675,"LE2-1301.016","FCM"
1989,0.221378636009665,-0.0179243657329151,"LE2-1301.016","FCM"
1990,0.347237774046882,-0.0149338906120233,"LE2-1301.016","FCM"
1991,0.384254779121635,0.13374233280396,"LE2-1301.016","FCM"
1992,0.354670750625108,0.214737192942601,"LE2-1301.016","FCM"
1993,0.294742526396394,0.194999575321996,"LE2-1301.016","FCM"
1994,0.274386414266021,0.191974422911466,"LE2-1301.016","FCM"
