"year","AL.anom","member","model"
1925,-139.236656843485,"LE2-1051.003","FCM"
1926,-902.383172843854,"LE2-1051.003","FCM"
1927,-101.605909521182,"LE2-1051.003","FCM"
1928,579.729878787335,"LE2-1051.003","FCM"
1929,-773.290354695001,"LE2-1051.003","FCM"
1930,268.359250276167,"LE2-1051.003","FCM"
1931,-224.752968532389,"LE2-1051.003","FCM"
1932,-1135.60534766474,"LE2-1051.003","FCM"
1933,342.229438728718,"LE2-1051.003","FCM"
1934,268.392147746679,"LE2-1051.003","FCM"
1935,-409.713324952633,"LE2-1051.003","FCM"
1936,595.650251170371,"LE2-1051.003","FCM"
1937,-553.07187771424,"LE2-1051.003","FCM"
1938,-939.630634863987,"LE2-1051.003","FCM"
1939,617.990433177022,"LE2-1051.003","FCM"
1940,1232.79503922083,"LE2-1051.003","FCM"
1941,-265.6428649988,"LE2-1051.003","FCM"
1942,807.00426284219,"LE2-1051.003","FCM"
1943,-653.837491218509,"LE2-1051.003","FCM"
1944,-138.721260704743,"LE2-1051.003","FCM"
1945,-479.342392085854,"LE2-1051.003","FCM"
1946,532.751672252211,"LE2-1051.003","FCM"
1947,1013.04019368035,"LE2-1051.003","FCM"
1948,-101.450647446423,"LE2-1051.003","FCM"
1949,1299.31222472824,"LE2-1051.003","FCM"
1950,-181.720227771525,"LE2-1051.003","FCM"
1951,-384.393703638212,"LE2-1051.003","FCM"
1952,406.421284321575,"LE2-1051.003","FCM"
1953,-740.52528648292,"LE2-1051.003","FCM"
1954,-159.030095074663,"LE2-1051.003","FCM"
1955,-6.51885635126747,"LE2-1051.003","FCM"
1956,530.846721250475,"LE2-1051.003","FCM"
1957,-658.394819298299,"LE2-1051.003","FCM"
1958,1385.80271166527,"LE2-1051.003","FCM"
1959,921.044544107972,"LE2-1051.003","FCM"
1960,544.516130849373,"LE2-1051.003","FCM"
1961,-295.465493330054,"LE2-1051.003","FCM"
1962,841.665414314448,"LE2-1051.003","FCM"
1963,-509.409320110713,"LE2-1051.003","FCM"
1964,-598.434939827671,"LE2-1051.003","FCM"
1965,856.636283328826,"LE2-1051.003","FCM"
1966,519.596374595426,"LE2-1051.003","FCM"
1967,-483.406332978286,"LE2-1051.003","FCM"
1968,363.139298732299,"LE2-1051.003","FCM"
1969,-378.698849269676,"LE2-1051.003","FCM"
1970,-975.87411650053,"LE2-1051.003","FCM"
1971,354.301742508777,"LE2-1051.003","FCM"
1972,231.269762088843,"LE2-1051.003","FCM"
1973,515.326384237494,"LE2-1051.003","FCM"
1974,-834.745347784992,"LE2-1051.003","FCM"
1975,-769.516789204605,"LE2-1051.003","FCM"
1976,-457.73550766713,"LE2-1051.003","FCM"
1977,88.209899727369,"LE2-1051.003","FCM"
1978,289.780774469461,"LE2-1051.003","FCM"
1979,-646.546194727758,"LE2-1051.003","FCM"
1980,-952.723098157895,"LE2-1051.003","FCM"
1981,-468.334671785077,"LE2-1051.003","FCM"
1982,64.1991938447017,"LE2-1051.003","FCM"
1983,-99.1315523387447,"LE2-1051.003","FCM"
1984,492.245127751984,"LE2-1051.003","FCM"
1985,100.830527733173,"LE2-1051.003","FCM"
1986,1135.63537961036,"LE2-1051.003","FCM"
1987,-233.423296306788,"LE2-1051.003","FCM"
1988,-344.354817854343,"LE2-1051.003","FCM"
1989,-101.893411645946,"LE2-1051.003","FCM"
1990,386.671156158249,"LE2-1051.003","FCM"
1991,788.612060366396,"LE2-1051.003","FCM"
1992,665.357723151306,"LE2-1051.003","FCM"
1993,-561.312688862904,"LE2-1051.003","FCM"
1994,1181.68211756009,"LE2-1051.003","FCM"
1995,-208.11738354028,"LE2-1051.003","FCM"
1996,-786.196507982626,"LE2-1051.003","FCM"
1997,-7.73781052658695,"LE2-1051.003","FCM"
1998,784.958338626966,"LE2-1051.003","FCM"
1999,937.683472421808,"LE2-1051.003","FCM"
2000,-342.799445688962,"LE2-1051.003","FCM"
2001,-734.897581071261,"LE2-1051.003","FCM"
2002,896.627606672935,"LE2-1051.003","FCM"
2003,-175.154494092767,"LE2-1051.003","FCM"
2004,225.86788483611,"LE2-1051.003","FCM"
2005,-189.580102441699,"LE2-1051.003","FCM"
2006,-533.352136446968,"LE2-1051.003","FCM"
2007,-472.051105439203,"LE2-1051.003","FCM"
2008,-13.1924731090727,"LE2-1051.003","FCM"
2009,281.392079064729,"LE2-1051.003","FCM"
2010,998.780042638689,"LE2-1051.003","FCM"
2011,756.079228420206,"LE2-1051.003","FCM"
2012,-255.15300517341,"LE2-1051.003","FCM"
2013,-462.422645362588,"LE2-1051.003","FCM"
2014,1653.34373508409,"LE2-1051.003","FCM"
1851,-293.168796205248,"LE2-1071.004","FCM"
1852,291.311397913778,"LE2-1071.004","FCM"
1853,782.933867536011,"LE2-1071.004","FCM"
1854,-338.347955596807,"LE2-1071.004","FCM"
1855,346.364788305294,"LE2-1071.004","FCM"
1856,460.742415874636,"LE2-1071.004","FCM"
