"lon","lat","ar1.e1","ar1.e2","diff","variable"
177.5,64.5,0.545218465873607,0.409902949577162,-0.135315516296445,"SST"
177.75,64.5,0.0623359850969816,0.599579734673665,0.537243749576684,"SST"
178,64.5,0.137358020999841,0.623519312332702,0.486161291332861,"SST"
178.25,64.5,0.211267425463814,0.403675828889377,0.192408403425563,"SST"
178.5,64.5,0.325650630221052,-0.0977844810153684,-0.423435111236421,"SST"
178.75,64.5,0.422591969046642,-0.266707595687896,-0.689299564734538,"SST"
179,64.5,0.372253191833824,-0.264445992209577,-0.636699184043401,"SST"
179.25,64.5,0.319985680544296,-0.256084317166975,-0.576069997711271,"SST"
179.5,64.5,0.27913112836017,-0.21175041105699,-0.49088153941716,"SST"
179.75,64.5,0.240364279866439,-0.131571542534383,-0.371935822400823,"SST"
180,64.5,0.205663988589155,-0.0546783465232238,-0.260342335112379,"SST"
180.25,64.5,0.181114928005127,0.0270147021069117,-0.154100225898215,"SST"
180.5,64.5,0.158026106881026,0.105551561156177,-0.0524745457248489,"SST"
180.75,64.5,0.163133962478262,0.177254236486834,0.0141202740085718,"SST"
181,64.5,0.184652768125862,0.23334821289349,0.0486954447676283,"SST"
181.25,64.5,0.194928974396755,0.272193588418701,0.0772646140219462,"SST"
181.5,64.5,0.190907040895046,0.275509208972859,0.0846021680778138,"SST"
181.75,64.5,0.181821971599775,0.266838599716721,0.0850166281169465,"SST"
182,64.5,0.156821758013864,0.259237192736493,0.10241543472263,"SST"
182.25,64.5,0.120971386558849,0.258326368366747,0.137354981807898,"SST"
182.5,64.5,0.0894789547351607,0.257234012717777,0.167755057982616,"SST"
182.75,64.5,0.0722941080691627,0.259420074374769,0.187125966305607,"SST"
183,64.5,0.057427443394828,0.261139975753564,0.203712532358736,"SST"
183.25,64.5,0.0513198235290558,0.264237914664656,0.2129180911356,"SST"
183.5,64.5,0.0520824468356115,0.267663556357604,0.215581109521993,"SST"
183.75,64.5,0.0523241755607888,0.270820448415618,0.218496272854829,"SST"
184,64.5,0.054553931322371,0.276879836538436,0.222325905216065,"SST"
184.25,64.5,0.0568806561757552,0.282804129222315,0.22592347304656,"SST"
184.5,64.5,0.0576464081153779,0.284520711541465,0.226874303426087,"SST"
184.75,64.5,0.0565207350280312,0.279895662264687,0.223374927236656,"SST"
185,64.5,0.0527756676312012,0.274310222735799,0.221534555104597,"SST"
185.25,64.5,0.0577939073485911,0.274817081941947,0.217023174593356,"SST"
185.5,64.5,0.0644592304218516,0.272895028652451,0.208435798230599,"SST"
185.75,64.5,0.0690211636641223,0.269088318082418,0.200067154418296,"SST"
187.25,64.5,0.0170871166994292,0.402991643156975,0.385904526457546,"SST"
187.5,64.5,0.016588825744497,0.403021866710242,0.386433040965745,"SST"
187.75,64.5,-0.0218823614052442,0.41387308651269,0.435755447917934,"SST"
188,64.5,-0.0521247131723304,0.40296468903649,0.455089402208821,"SST"
188.25,64.5,-0.0750303821218595,0.396584917012952,0.471615299134812,"SST"
188.5,64.5,-0.0887931190106104,0.397511465881147,0.486304584891757,"SST"
188.75,64.5,-0.0988385832075886,0.396924309397044,0.495762892604632,"SST"
189,64.5,-0.15343832448985,0.409313020807349,0.562751345297199,"SST"
189.25,64.5,-0.202142180498002,0.417629244330889,0.619771424828891,"SST"
189.5,64.5,-0.259122562029803,0.432484809917532,0.691607371947335,"SST"
189.75,64.5,-0.333937909611285,0.452991646750034,0.78692955636132,"SST"
190,64.5,-0.406662044730758,0.468785217192862,0.875447261923621,"SST"
190.25,64.5,-0.480056159041438,0.48997664576913,0.970032804810568,"SST"
190.5,64.5,-0.543160612256826,0.503374307771803,1.04653492002863,"SST"
190.75,64.5,-0.596942997495269,0.514204338269662,1.11114733576493,"SST"
191,64.5,-0.640061250054629,0.52091260007359,1.16097385012822,"SST"
191.25,64.5,-0.671595732291818,0.51372730868942,1.18532304098124,"SST"
191.5,64.5,-0.681306096943601,0.525538608743747,1.20684470568735,"SST"
191.75,64.5,-0.687654738336286,0.531232608155192,1.21888734649148,"SST"
192,64.5,-0.695896614471167,0.51324750872862,1.20914412319979,"SST"
192.25,64.5,-0.705359293215566,0.472205468289583,1.17756476150515,"SST"
192.5,64.5,-0.710271482768275,0.426916432272476,1.13718791504075,"SST"
192.75,64.5,-0.693343237200169,0.412302469453003,1.10564570665317,"SST"
193,64.5,-0.665921275022602,0.397398448760334,1.06331972378294,"SST"
193.25,64.5,-0.632660245895678,0.387627260858721,1.0202875067544,"SST"
193.5,64.5,-0.583819835947183,0.38177238074523,0.965592216692413,"SST"
193.75,64.5,-0.514247624050992,0.378662776617754,0.892910400668746,"SST"
194,64.5,-0.487111571318001,0.376873535071407,0.863985106389408,"SST"
194.25,64.5,-0.453759384225035,0.372302059424369,0.826061443649404,"SST"
194.5,64.5,-0.43555826396369,0.368599156282223,0.804157420245912,"SST"
195.5,64.5,-0.174875585272151,0.266705264888519,0.44158085016067,"SST"
195.75,64.5,-0.128820003191353,0.278412438527768,0.407232441719122,"SST"
196,64.5,-0.0230473741817459,0.304213840608722,0.327261214790467,"SST"
196.25,64.5,0.0897794247319613,0.33047379806774,0.240694373335779,"SST"
196.5,64.5,0.167800477880666,0.399415217702714,0.231614739822048,"SST"
196.75,64.5,0.246819003884957,0.470764625833522,0.223945621948565,"SST"
197,64.5,0.323892664864574,0.515649690677491,0.191757025812917,"SST"
197.25,64.5,0.416213305222037,0.533954832551242,0.117741527329206,"SST"
197.5,64.5,0.516403282034225,0.537229756538593,0.0208264745043687,"SST"
197.75,64.5,0.447391987631079,0.593058841445067,0.145666853813988,"SST"
198,64.5,0.366970772796605,0.637525395478374,0.270554622681769,"SST"
198.25,64.5,0.319801648518189,0.665007335359564,0.345205686841375,"SST"
198.5,64.5,0.309394228920007,0.687882140975509,0.378487912055502,"SST"
198.75,64.5,0.297937533100491,0.706421306670645,0.408483773570154,"SST"
199,64.5,0.296619498775866,0.706892751206943,0.410273252431077,"SST"
249.25,64.5,0.034684705352058,-0.0899547001128113,-0.124639405464869,"SST"
